Umur_Group,Dimensi,Jumlah
12-14 tahun,1. Pendidikan,26
12-14 tahun,2. Kesehatan,126
12-14 tahun,3. Perlindungan Anak,80
12-14 tahun,4. Kesejahteraan Sosial,69
12-14 tahun,5. Pengetahuan Bencana,44
12-14 tahun,6. Harapan Anak,20
12-14 tahun,Lainnya,166
15-17 tahun,1. Pendidikan,17
15-17 tahun,2. Kesehatan,76
15-17 tahun,3. Perlindungan Anak,41
15-17 tahun,4. Kesejahteraan Sosial,58
15-17 tahun,5. Pengetahuan Bencana,18
15-17 tahun,6. Harapan Anak,21
15-17 tahun,Lainnya,25
8-11 tahun,1. Pendidikan,31
8-11 tahun,2. Kesehatan,164
8-11 tahun,3. Perlindungan Anak,102
8-11 tahun,4. Kesejahteraan Sosial,78
8-11 tahun,5. Pengetahuan Bencana,48
8-11 tahun,6. Harapan Anak,22
8-11 tahun,Lainnya,227
Tidak Diisi,1. Pendidikan,9
Tidak Diisi,2. Kesehatan,25
Tidak Diisi,3. Perlindungan Anak,27
Tidak Diisi,4. Kesejahteraan Sosial,21
Tidak Diisi,5. Pengetahuan Bencana,10
Tidak Diisi,6. Harapan Anak,7
Tidak Diisi,Lainnya,28
